Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
11/09/2024,Real Salt Lake,Toronto FC,0,0,D
15/09/2024,Colorado Rapids,LA Galaxy,0,1,A
15/09/2024,New York City FC,Houston Dynamo,2,1,H
15/09/2024,Houston Dynamo,Philadelphia Union,2,0,H
15/09/2024,FC Dallas,Sporting Kansas City,1,2,A
15/09/2024,Minnesota United,Montreal CF,0,1,A
15/09/2024,Minnesota United,New England Revolution,1,2,A
18/09/2024,LA Galaxy,Houston Dynamo,1,0,H
18/09/2024,Portland Timbers,Sporting Kansas City,0,2,A
18/09/2024,New York City FC,DC United,1,1,D
18/09/2024,Toronto FC,DC United,4,1,H
18/09/2024,New York City FC,Minnesota United,0,1,A
18/09/2024,San Jose Earthquakes,Atlanta United,1,4,A
20/09/2024,New York Red Bulls,Colorado Rapids,0,2,A
20/09/2024,Chicago Fire,Atlanta United,1,0,H
20/09/2024,Colorado Rapids,New York City FC,0,2,A
20/09/2024,DC United,Houston Dynamo,0,1,A
20/09/2024,Portland Timbers,Los Angeles FC,4,0,H
20/09/2024,DC United,Houston Dynamo,4,2,H
22/09/2024,New York Red Bulls,New England Revolution,2,1,H
22/09/2024,Real Salt Lake,San Jose Earthquakes,2,1,H
22/09/2024,Columbus Crew,Philadelphia Union,0,2,A
22/09/2024,Inter Miami CF,New England Revolution,0,1,A
22/09/2024,Philadelphia Union,Real Salt Lake,5,1,H
22/09/2024,LA Galaxy,Houston Dynamo,0,0,D
24/09/2024,FC Dallas,Atlanta United,0,3,A
24/09/2024,FC Dallas,LA Galaxy,0,4,A
24/09/2024,Columbus Crew,Real Salt Lake,2,0,H
24/09/2024,Chicago Fire,FC Cincinnati,1,1,D
24/09/2024,Colorado Rapids,Real Salt Lake,1,1,D
24/09/2024,San Jose Earthquakes,FC Dallas,3,1,H
26/09/2024,Philadelphia Union,New England Revolution,4,1,H
26/09/2024,Inter Miami CF,Chicago Fire,4,0,H
26/09/2024,Portland Timbers,Philadelphia Union,1,2,A
26/09/2024,LA Galaxy,Vancouver Whitecaps,0,3,A
26/09/2024,Seattle Sounders,Sporting Kansas City,1,2,A
26/09/2024,Los Angeles FC,Montreal CF,1,2,A
28/09/2024,Sporting Kansas City,Philadelphia Union,2,4,A
28/09/2024,Toronto FC,San Jose Earthquakes,1,2,A
28/09/2024,New England Revolution,FC Dallas,1,2,A
28/09/2024,Sporting Kansas City,Houston Dynamo,0,0,D
28/09/2024,New York Red Bulls,Seattle Sounders,1,2,A
28/09/2024,Los Angeles FC,Atlanta United,2,1,H
02/10/2024,FC Cincinnati,Montreal CF,3,3,D
02/10/2024,New York Red Bulls,Columbus Crew,1,2,A
02/10/2024,Los Angeles FC,New England Revolution,0,2,A
02/10/2024,LA Galaxy,DC United,2,1,H
02/10/2024,Toronto FC,San Jose Earthquakes,2,2,D
02/10/2024,FC Cincinnati,FC Dallas,2,2,D
06/10/2024,Chicago Fire,LA Galaxy,0,2,A
06/10/2024,New England Revolution,Montreal CF,1,3,A
06/10/2024,FC Dallas,Toronto FC,1,1,D
06/10/2024,Inter Miami CF,LA Galaxy,1,1,D
06/10/2024,Minnesota United,LA Galaxy,1,1,D
06/10/2024,Seattle Sounders,FC Dallas,0,0,D
08/10/2024,FC Dallas,Minnesota United,0,0,D
08/10/2024,New England Revolution,FC Dallas,2,1,H
08/10/2024,Real Salt Lake,Vancouver Whitecaps,3,1,H
08/10/2024,FC Dallas,Portland Timbers,1,0,H
08/10/2024,New York Red Bulls,Minnesota United,0,1,A
08/10/2024,Vancouver Whitecaps,Portland Timbers,2,1,H
12/10/2024,Montreal CF,Philadelphia Union,0,2,A
12/10/2024,Real Salt Lake,New England Revolution,2,1,H
12/10/2024,Sporting Kansas City,FC Cincinnati,2,0,H
12/10/2024,Philadelphia Union,Vancouver Whitecaps,1,1,D
12/10/2024,Minnesota United,Chicago Fire,2,0,H
12/10/2024,Columbus Crew,Vancouver Whitecaps,0,2,A
14/10/2024,DC United,Montreal CF,2,3,A
14/10/2024,San Jose Earthquakes,Sporting Kansas City,3,1,H
14/10/2024,Philadelphia Union,DC United,2,1,H
14/10/2024,New England Revolution,FC Dallas,0,0,D
14/10/2024,New York Red Bulls,Real Salt Lake,1,2,A
14/10/2024,Montreal CF,DC United,2,1,H
18/10/2024,FC Dallas,Vancouver Whitecaps,1,1,D
18/10/2024,Real Salt Lake,New York Red Bulls,1,0,H
18/10/2024,Columbus Crew,New York Red Bulls,3,0,H
18/10/2024,New England Revolution,Sporting Kansas City,0,1,A
18/10/2024,FC Dallas,DC United,2,2,D
18/10/2024,New England Revolution,Colorado Rapids,3,0,H
22/10/2024,Sporting Kansas City,Atlanta United,3,2,H
22/10/2024,FC Cincinnati,New York Red Bulls,0,0,D
22/10/2024,FC Dallas,Chicago Fire,0,1,A
22/10/2024,LA Galaxy,Seattle Sounders,1,0,H
22/10/2024,Inter Miami CF,Columbus Crew,2,1,H
22/10/2024,Columbus Crew,Philadelphia Union,1,1,D
26/10/2024,Colorado Rapids,New York Red Bulls,2,2,D
26/10/2024,FC Cincinnati,New York Red Bulls,2,0,H
26/10/2024,Atlanta United,Philadelphia Union,2,2,D
26/10/2024,Minnesota United,Colorado Rapids,1,1,D
26/10/2024,Inter Miami CF,Sporting Kansas City,1,0,H
26/10/2024,Toronto FC,Chicago Fire,1,1,D
30/10/2024,Los Angeles FC,Minnesota United,2,3,A
30/10/2024,Seattle Sounders,Chicago Fire,2,3,A
30/10/2024,Philadelphia Union,DC United,1,3,A
30/10/2024,Atlanta United,LA Galaxy,3,0,H
30/10/2024,FC Cincinnati,Real Salt Lake,4,0,H
30/10/2024,LA Galaxy,Philadelphia Union,2,1,H
02/11/2024,Chicago Fire,Seattle Sounders,6,2,H
02/11/2024,Seattle Sounders,New York Red Bulls,2,1,H
02/11/2024,Chicago Fire,Montreal CF,0,0,D
02/11/2024,Houston Dynamo,Sporting Kansas City,1,1,D
02/11/2024,Sporting Kansas City,New England Revolution,0,2,A
02/11/2024,Sporting Kansas City,Montreal CF,0,1,A
04/11/2024,Houston Dynamo,Philadelphia Union,1,4,A
04/11/2024,FC Dallas,Minnesota United,1,0,H
04/11/2024,New York Red Bulls,New York City FC,0,0,D
04/11/2024,Atlanta United,Minnesota United,1,0,H
04/11/2024,DC United,Seattle Sounders,2,1,H
04/11/2024,FC Cincinnati,Portland Timbers,1,0,H
07/11/2024,Atlanta United,Colorado Rapids,1,2,A
07/11/2024,Vancouver Whitecaps,Minnesota United,1,0,H
07/11/2024,Portland Timbers,Inter Miami CF,2,1,H
07/11/2024,Colorado Rapids,Portland Timbers,0,1,A
07/11/2024,DC United,Houston Dynamo,0,3,A
07/11/2024,Toronto FC,Seattle Sounders,2,2,D
11/11/2024,DC United,Columbus Crew,1,1,D
11/11/2024,Seattle Sounders,Los Angeles FC,0,2,A
11/11/2024,New York Red Bulls,DC United,3,2,H
11/11/2024,Real Salt Lake,Chicago Fire,1,1,D
11/11/2024,DC United,Portland Timbers,1,2,A
11/11/2024,Minnesota United,Seattle Sounders,1,1,D
14/11/2024,Toronto FC,New England Revolution,2,2,D
14/11/2024,New York Red Bulls,Inter Miami CF,2,0,H
14/11/2024,Chicago Fire,DC United,2,1,H
14/11/2024,New York City FC,Los Angeles FC,1,3,A
14/11/2024,Philadelphia Union,Houston Dynamo,0,2,A
14/11/2024,San Jose Earthquakes,Minnesota United,1,1,D
16/11/2024,Chicago Fire,Columbus Crew,2,2,D
16/11/2024,New York Red Bulls,Inter Miami CF,2,1,H
16/11/2024,FC Dallas,Vancouver Whitecaps,3,2,H
16/11/2024,Inter Miami CF,Philadelphia Union,2,2,D
16/11/2024,New York Red Bulls,Minnesota United,0,1,A
16/11/2024,FC Cincinnati,Real Salt Lake,0,2,A
18/11/2024,Minnesota United,Vancouver Whitecaps,2,0,H
18/11/2024,Colorado Rapids,Real Salt Lake,0,0,D
18/11/2024,Portland Timbers,Real Salt Lake,4,1,H
18/11/2024,Columbus Crew,New York City FC,4,2,H
18/11/2024,LA Galaxy,New York City FC,1,0,H
18/11/2024,Seattle Sounders,New England Revolution,2,2,D
22/11/2024,Vancouver Whitecaps,Seattle Sounders,2,0,H
22/11/2024,Atlanta United,Vancouver Whitecaps,2,1,H
22/11/2024,Minnesota United,Chicago Fire,1,1,D
22/11/2024,Vancouver Whitecaps,Seattle Sounders,4,1,H
22/11/2024,FC Cincinnati,Columbus Crew,1,4,A
22/11/2024,New England Revolution,FC Cincinnati,2,3,A
25/11/2024,New York City FC,Real Salt Lake,2,1,H
25/11/2024,Chicago Fire,Montreal CF,0,0,D
25/11/2024,FC Dallas,San Jose Earthquakes,2,3,A
25/11/2024,Sporting Kansas City,Los Angeles FC,1,1,D
25/11/2024,Sporting Kansas City,Colorado Rapids,3,1,H
25/11/2024,Vancouver Whitecaps,DC United,3,1,H
28/11/2024,New York City FC,Colorado Rapids,0,3,A
28/11/2024,Sporting Kansas City,FC Cincinnati,1,2,A
28/11/2024,Colorado Rapids,FC Dallas,1,2,A
28/11/2024,Houston Dynamo,Inter Miami CF,0,1,A
28/11/2024,Philadelphia Union,Chicago Fire,0,2,A
28/11/2024,Colorado Rapids,New York Red Bulls,0,3,A
30/11/2024,New England Revolution,Seattle Sounders,0,2,A
